HMER_2017_TEST1_TPHUONG_01_6Bng 6a^{2}
HMER_2017_TEST1_TUYET_01_4B.png i=E(T_{0})
HMER_2017_TEST1_THY_01_2A.png f=\sqrt{5}+\sqrt{3}
HMER_2017_TEST1_MINH_01_5B.png H=\frac{fd}{c}
HMER_2017_TEST1_HUONG_01_1B.png \alpha^{2}+\beta^{2}=1
HMER_2017_TEST1_LINH_01_4A.png -\sinx
HMER_2017_TEST1_NHUNG_01_1B.png \frac{9}{7}+x+h
HMER_2017_TEST1_MY_01_6A.png \varphi(w)=u^{T}w
HMER_2017_TEST1_THANH_01_3B.png \existsx\forally(xRy)
HMER_2017_TEST1_TUYET_01_4A.png \int_{1}^{\infty}\frac{1}{t}dt
HMER_2017_TEST1_THY_01_2B.png k(p+q)
HMER_2017_TEST1_MINH_01_5A.png \forallx\inX
HMER_2017_TEST1_HUONG_01_1A.png 12\div75\geq0
HMER_2017_TEST1_LINH_01_4B.png \sqrt{18}
HMER_2017_TEST1_LINH_01_3A.png sinx\timescosx
HMER_2017_TEST1_HUONG_01_6B.png \sqrt{85}
HMER_2017_TEST1_MINH_01_2B.png MN=NM
HMER_2017_TEST1_TUYET_01_3B.png q=36\pi\frac{v^{2}}{s^{3}}
HMER_2017_TEST1_THY_01_5A.png 4\pi^{2}aR
HMER_2017_TEST1_THANH_01_4A.png lim_{x\rightarrow+\infty}\sqrt{x}=+\infty
HMER_2017_TEST1_MY_01_1B.png H_{n}\slashT
HMER_2017_TEST1_NHUNG_01_6A.png b\timesh
HMER_2017_TEST1_LINH_01_3B.png \log_{2}x
HMER_2017_TEST1_HUONG_01_6A.png ua+vb=1
HMER_2017_TEST1_MINH_01_2A.png p=2\timesl-q
HMER_2017_TEST1_TUYET_01_3A.png HR=\frac{P}{Q}
HMER_2017_TEST1_THY_01_5B.png P^{a}\geqP_{b}
HMER_2017_TEST1_THANH_01_4B.png u(t)-v(t)
HMER_2017_TEST1_MY_01_1A.png V=C\sqrt{RS}
HMER_2017_TEST1_NHUNG_01_6B.png \lim_{x\rightarrow1}\frac{\sqrt{1+x}}{1-x}
HMER_2017_TEST1_VAN_01_6B.png log_{10}100=10
HMER_2017_TEST1_TUYEN_01_6A.png \int_{a}^{b}\frac{\sqrt{x}}{2}dx
HMER_2017_TEST1_NHI_01_6A.png L_{\mu}=L_{1}
HMER_2017_TEST1_YPHUONG_01_1B.png \sigma=\frac{F}{S}
HMER_2017_TEST1_THANH_01_5B.png T_{850}
HMER_2017_TEST1_PHUONG_01_1A.png P(b\slashc)
HMER_2017_TEST1_TUYET_01_2A.png 	\forallx\existsyx+y=0
HMER_2017_TEST1_THY_01_4B.png (E_{ij})
HMER_2017_TEST1_MINH_01_3A.png x=v_{4}+v_{1}
HMER_2017_TEST1_TU_01_1B.png \sum_{i=0}^{10} x_{i}
HMER_2017_TEST1_THAO_01_6B.png (((x)))
HMER_2017_TEST1_LINH_01_2B.png log_{a}x
HMER_2017_TEST1_VAN_01_6A.png P_{1}=P_{0}\frac{S_{1}}{S_{0}}
HMER_2017_TEST1_TUYEN_01_6B.png \alpha+\beta=\gamma
HMER_2017_TEST1_NHI_01_6B.png 52345
HMER_2017_TEST1_YPHUONG_01_1A.png f(M)
HMER_2017_TEST1_THANH_01_5A.png sin2x=2sinxcosx
HMER_2017_TEST1_PHUONG_01_1B.png \sqrt{2}=\frac{p}{q}
HMER_2017_TEST1_TUYET_01_2B.png u_{n}=u_{p}q^{n-p}
HMER_2017_TEST1_THY_01_4A.png a=\frac{v^{2}}{R}
HMER_2017_TEST1_MINH_01_3B.png N\slashM
HMER_2017_TEST1_TU_01_1A.png E\rightarrowE\slashF
HMER_2017_TEST1_LINH_01_2A.png 8\sqrt{3}
HMER_2017_TEST1_THAO_01_6A.png u\neqv
